method_family,strategy,target_type,status,mutant_id,subject,operator,fault_kind,fault_category,mutant_file,primary_file,primary_line,hit,best_rank,top1_hit,top3_hit,top5_hit,top10_hit,prediction_count,region_size_average,region_size_max,region_size_hit,region_size_top1,region_size_top1_average,region_size_top3_average,region_size_top5_average,region_size_top10_average,hit_item_region_size,cumulative_inspection_region_at_first_hit,inspection_region_top1,inspection_region_top3,inspection_region_top5,inspection_region_top10,hit_lines,sfl_entities,sfl_test_cases,sfl_failed_cases,sfl_passed_cases,sfl_coverage_ratio,sfl_total_s,strategy_label,notes
SFL,sfl.ochiai,line,evaluated,BoundaryStressCounter_M1,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M1.java,BoundaryStressCounter/BoundaryStressCounter_M1.java,3,True,2,False,True,False,False,20,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],20,77,1,76,0.6091,0.0615,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundaryStressCounter_M1,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M1.java,BoundaryStressCounter/BoundaryStressCounter_M1.java,3,True,2,False,True,False,False,20,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],20,77,1,76,0.6091,0.0615,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundaryStressCounter_M1,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M1.java,BoundaryStressCounter/BoundaryStressCounter_M1.java,3,True,2,False,True,False,False,20,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],20,77,1,76,0.6091,0.0615,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundaryStressCounter_M1,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M1.java,BoundaryStressCounter/BoundaryStressCounter_M1.java,3,True,2,False,True,False,False,20,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],20,77,1,76,0.6091,0.0615,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundaryStressCounter_M1,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M1.java,BoundaryStressCounter/BoundaryStressCounter_M1.java,3,True,2,False,True,False,False,20,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],20,77,1,76,0.6091,0.0615,SFL Op2,
SFL,sfl.ochiai,line,evaluated,BoundaryStressCounter_M2,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M2.java,BoundaryStressCounter/BoundaryStressCounter_M2.java,16,True,2,False,True,False,False,20,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[16],20,145,68,77,0.629,0.1083,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundaryStressCounter_M2,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M2.java,BoundaryStressCounter/BoundaryStressCounter_M2.java,16,True,4,False,False,False,False,20,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[16],20,145,68,77,0.629,0.1083,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundaryStressCounter_M2,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M2.java,BoundaryStressCounter/BoundaryStressCounter_M2.java,16,True,2,False,True,False,False,20,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[16],20,145,68,77,0.629,0.1083,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundaryStressCounter_M2,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M2.java,BoundaryStressCounter/BoundaryStressCounter_M2.java,16,True,4,False,False,False,False,20,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[16],20,145,68,77,0.629,0.1083,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundaryStressCounter_M2,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M2.java,BoundaryStressCounter/BoundaryStressCounter_M2.java,16,True,2,False,True,False,False,20,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[16],20,145,68,77,0.629,0.1083,SFL Op2,
