cct_hit,cct_lines,cct_strategy,cct_top_r,dataset_id,experiment_id,fault_category,fault_kind,inspection_budget_lines,mutant_id,operator,primary_line,sfl_budget_hit,sfl_budget_lines,sfl_strategy,subject
True,"[3, 5]",aggregated.composite.condition_or_interval,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M1,BOR,3,True,"[3, 5]",sfl.ochiai,AddLoop
True,"[3, 5]",aggregated.composite.condition_or_interval,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M1,BOR,3,True,"[3, 5]",sfl.ochiai,AddLoop
True,"[3, 5]",aggregated.composite.condition_or_interval,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M1,BOR,3,True,"[3, 5]",sfl.ochiai,AddLoop
True,[3],aggregated.condition_node,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
True,[3],aggregated.condition_node,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
True,[3],aggregated.condition_node,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.edge_divergence_gated,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.edge_divergence_gated,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.edge_divergence_gated,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.statement_presence,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.statement_presence,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.statement_presence,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M1,BOR,3,False,[5],sfl.ochiai,AddLoop
False,"[3, 10]",aggregated.composite.condition_or_interval,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M2,BOR,8,False,"[5, 10]",sfl.ochiai,AddLoop
False,"[3, 5, 10]",aggregated.composite.condition_or_interval,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,3,AddLoop_M2,BOR,8,False,"[3, 5, 10]",sfl.ochiai,AddLoop
True,"[3, 5, 8, 10]",aggregated.composite.condition_or_interval,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,4,AddLoop_M2,BOR,8,True,"[3, 5, 8, 10]",sfl.ochiai,AddLoop
False,[3],aggregated.condition_node,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M2,BOR,8,False,[5],sfl.ochiai,AddLoop
False,[3],aggregated.condition_node,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M2,BOR,8,False,[5],sfl.ochiai,AddLoop
True,"[3, 8]",aggregated.condition_node,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M2,BOR,8,False,"[5, 10]",sfl.ochiai,AddLoop
False,[10],aggregated.interval.edge_divergence_gated,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M2,BOR,8,False,[5],sfl.ochiai,AddLoop
False,"[5, 10]",aggregated.interval.edge_divergence_gated,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M2,BOR,8,False,"[5, 10]",sfl.ochiai,AddLoop
False,"[5, 10]",aggregated.interval.edge_divergence_gated,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M2,BOR,8,False,"[5, 10]",sfl.ochiai,AddLoop
False,[10],aggregated.interval.statement_presence,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M2,BOR,8,False,[5],sfl.ochiai,AddLoop
False,"[5, 10]",aggregated.interval.statement_presence,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M2,BOR,8,False,"[5, 10]",sfl.ochiai,AddLoop
False,"[5, 10]",aggregated.interval.statement_presence,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M2,BOR,8,False,"[5, 10]",sfl.ochiai,AddLoop
False,"[3, 5]",aggregated.composite.condition_or_interval,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M3,ROR,14,False,"[3, 5]",sfl.ochiai,AddLoop
False,"[3, 5]",aggregated.composite.condition_or_interval,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M3,ROR,14,False,"[3, 5]",sfl.ochiai,AddLoop
False,"[3, 5]",aggregated.composite.condition_or_interval,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,2,AddLoop_M3,ROR,14,False,"[3, 5]",sfl.ochiai,AddLoop
False,[3],aggregated.condition_node,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
False,[3],aggregated.condition_node,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
False,[3],aggregated.condition_node,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.edge_divergence_gated,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.edge_divergence_gated,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.edge_divergence_gated,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.statement_presence,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.statement_presence,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
False,[5],aggregated.interval.statement_presence,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,1,AddLoop_M3,ROR,14,False,[5],sfl.ochiai,AddLoop
True,"[18, 20, 21]",aggregated.composite.condition_or_interval,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,AddLoop_M4,AOR,20,True,"[16, 18, 20]",sfl.ochiai,AddLoop
True,"[3, 16, 18, 20, 21]",aggregated.composite.condition_or_interval,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,5,AddLoop_M4,AOR,20,True,"[3, 16, 18, 20, 21]",sfl.ochiai,AddLoop
True,"[3, 13, 14, 16, 18, 20, 21]",aggregated.composite.condition_or_interval,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,7,AddLoop_M4,AOR,20,True,"[3, 13, 14, 16, 18, 20, 21]",sfl.ochiai,AddLoop
False,[18],aggregated.condition_node,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,1,AddLoop_M4,AOR,20,False,[16],sfl.ochiai,AddLoop
False,"[3, 18]",aggregated.condition_node,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,AddLoop_M4,AOR,20,False,"[16, 18]",sfl.ochiai,AddLoop
False,"[3, 14, 18]",aggregated.condition_node,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,AddLoop_M4,AOR,20,True,"[16, 18, 20]",sfl.ochiai,AddLoop
True,"[20, 21]",aggregated.interval.edge_divergence_gated,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,AddLoop_M4,AOR,20,False,"[16, 18]",sfl.ochiai,AddLoop
True,"[16, 20, 21]",aggregated.interval.edge_divergence_gated,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,AddLoop_M4,AOR,20,True,"[16, 18, 20]",sfl.ochiai,AddLoop
True,"[13, 16, 20, 21]",aggregated.interval.edge_divergence_gated,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,4,AddLoop_M4,AOR,20,True,"[16, 18, 20, 21]",sfl.ochiai,AddLoop
True,"[20, 21]",aggregated.interval.statement_presence,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,AddLoop_M4,AOR,20,False,"[16, 18]",sfl.ochiai,AddLoop
True,"[16, 20, 21]",aggregated.interval.statement_presence,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,AddLoop_M4,AOR,20,True,"[16, 18, 20]",sfl.ochiai,AddLoop
True,"[13, 16, 20, 21]",aggregated.interval.statement_presence,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,4,AddLoop_M4,AOR,20,True,"[16, 18, 20, 21]",sfl.ochiai,AddLoop
True,"[18, 20, 21]",aggregated.composite.condition_or_interval,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,AddLoop_M5,SUR,21,False,"[16, 18, 20]",sfl.ochiai,AddLoop
True,"[3, 16, 18, 20, 21]",aggregated.composite.condition_or_interval,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,5,AddLoop_M5,SUR,21,True,"[3, 16, 18, 20, 21]",sfl.ochiai,AddLoop
True,"[3, 13, 16, 18, 20, 21]",aggregated.composite.condition_or_interval,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,6,AddLoop_M5,SUR,21,True,"[3, 13, 16, 18, 20, 21]",sfl.ochiai,AddLoop
False,[18],aggregated.condition_node,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,1,AddLoop_M5,SUR,21,False,[16],sfl.ochiai,AddLoop
False,"[3, 18]",aggregated.condition_node,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,AddLoop_M5,SUR,21,False,"[16, 18]",sfl.ochiai,AddLoop
False,"[3, 18]",aggregated.condition_node,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,AddLoop_M5,SUR,21,False,"[16, 18]",sfl.ochiai,AddLoop
True,"[20, 21]",aggregated.interval.edge_divergence_gated,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,AddLoop_M5,SUR,21,False,"[16, 18]",sfl.ochiai,AddLoop
True,"[16, 20, 21]",aggregated.interval.edge_divergence_gated,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,AddLoop_M5,SUR,21,False,"[16, 18, 20]",sfl.ochiai,AddLoop
True,"[13, 16, 20, 21]",aggregated.interval.edge_divergence_gated,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,4,AddLoop_M5,SUR,21,True,"[16, 18, 20, 21]",sfl.ochiai,AddLoop
True,"[20, 21]",aggregated.interval.statement_presence,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,AddLoop_M5,SUR,21,False,"[16, 18]",sfl.ochiai,AddLoop
