cases,cct_hit_count,cct_hit_rate,cct_minus_sfl_hit_rate,cct_strategy,cct_top_r,fault_category,max_budget_lines,mean_budget_lines,median_budget_lines,sfl_budget_hit_count,sfl_budget_hit_rate,sfl_strategy
61,27,0.4426229508196721,-0.22950819672131145,aggregated.composite.condition_or_interval,1,condition,5,3.0491803278688523,3,41,0.6721311475409836,sfl.ochiai
61,37,0.6065573770491803,-0.180327868852459,aggregated.composite.condition_or_interval,2,condition,9,5.163934426229508,5,48,0.7868852459016393,sfl.ochiai
61,42,0.6885245901639344,-0.2295081967213115,aggregated.composite.condition_or_interval,3,condition,13,7.213114754098361,7,56,0.9180327868852459,sfl.ochiai
61,27,0.4426229508196721,0.4098360655737705,aggregated.condition_node,1,condition,1,1.0,1,2,0.03278688524590164,sfl.ochiai
61,37,0.6065573770491803,0.4918032786885246,aggregated.condition_node,2,condition,2,1.6065573770491803,2,7,0.11475409836065574,sfl.ochiai
61,42,0.6885245901639344,0.29508196721311475,aggregated.condition_node,3,condition,3,2.3278688524590163,3,24,0.39344262295081966,sfl.ochiai
61,0,0.0,-0.14754098360655737,aggregated.interval.edge_divergence_gated,1,condition,4,2.0491803278688523,2,9,0.14754098360655737,sfl.ochiai
61,0,0.0,-0.3770491803278688,aggregated.interval.edge_divergence_gated,2,condition,7,3.557377049180328,3,23,0.3770491803278688,sfl.ochiai
61,0,0.0,-0.39344262295081966,aggregated.interval.edge_divergence_gated,3,condition,10,4.885245901639344,4,24,0.39344262295081966,sfl.ochiai
61,0,0.0,-0.13114754098360656,aggregated.interval.statement_presence,1,condition,4,1.9672131147540983,2,8,0.13114754098360656,sfl.ochiai
61,0,0.0,-0.36065573770491804,aggregated.interval.statement_presence,2,condition,7,3.2295081967213113,3,22,0.36065573770491804,sfl.ochiai
61,0,0.0,-0.39344262295081966,aggregated.interval.statement_presence,3,condition,10,4.622950819672131,4,24,0.39344262295081966,sfl.ochiai
126,65,0.5158730158730159,-0.19047619047619047,aggregated.composite.condition_or_interval,1,overall,5,3.2142857142857144,3.0,89,0.7063492063492064,sfl.ochiai
126,85,0.6746031746031746,-0.1507936507936507,aggregated.composite.condition_or_interval,2,overall,9,5.849206349206349,6.0,104,0.8253968253968254,sfl.ochiai
126,91,0.7222222222222222,-0.2142857142857143,aggregated.composite.condition_or_interval,3,overall,13,8.301587301587302,8.0,118,0.9365079365079365,sfl.ochiai
126,27,0.21428571428571427,-0.015873015873015872,aggregated.condition_node,1,overall,1,1.0,1.0,29,0.23015873015873015,sfl.ochiai
126,37,0.29365079365079366,-0.10317460317460314,aggregated.condition_node,2,overall,2,1.8095238095238095,2.0,50,0.3968253968253968,sfl.ochiai
126,42,0.3333333333333333,-0.23809523809523808,aggregated.condition_node,3,overall,3,2.626984126984127,3.0,72,0.5714285714285714,sfl.ochiai
126,38,0.30158730158730157,-0.09523809523809523,aggregated.interval.edge_divergence_gated,1,overall,4,2.2142857142857144,2.0,50,0.3968253968253968,sfl.ochiai
126,48,0.38095238095238093,-0.19841269841269848,aggregated.interval.edge_divergence_gated,2,overall,7,4.0396825396825395,4.0,73,0.5793650793650794,sfl.ochiai
126,49,0.3888888888888889,-0.2619047619047619,aggregated.interval.edge_divergence_gated,3,overall,10,5.674603174603175,5.0,82,0.6507936507936508,sfl.ochiai
126,36,0.2857142857142857,-0.09523809523809523,aggregated.interval.statement_presence,1,overall,4,2.0952380952380953,2.0,48,0.38095238095238093,sfl.ochiai
126,47,0.373015873015873,-0.18253968253968256,aggregated.interval.statement_presence,2,overall,7,3.7698412698412698,4.0,70,0.5555555555555556,sfl.ochiai
126,50,0.3968253968253968,-0.253968253968254,aggregated.interval.statement_presence,3,overall,10,5.388888888888889,5.0,82,0.6507936507936508,sfl.ochiai
65,38,0.5846153846153846,-0.15384615384615385,aggregated.composite.condition_or_interval,1,statement,5,3.3692307692307693,3,48,0.7384615384615385,sfl.ochiai
65,48,0.7384615384615385,-0.12307692307692308,aggregated.composite.condition_or_interval,2,statement,9,6.492307692307692,6,56,0.8615384615384616,sfl.ochiai
65,49,0.7538461538461538,-0.20000000000000007,aggregated.composite.condition_or_interval,3,statement,13,9.323076923076924,8,62,0.9538461538461539,sfl.ochiai
65,0,0.0,-0.4153846153846154,aggregated.condition_node,1,statement,1,1.0,1,27,0.4153846153846154,sfl.ochiai
65,0,0.0,-0.6615384615384615,aggregated.condition_node,2,statement,2,2.0,2,43,0.6615384615384615,sfl.ochiai
65,0,0.0,-0.7384615384615385,aggregated.condition_node,3,statement,3,2.9076923076923076,3,48,0.7384615384615385,sfl.ochiai
65,38,0.5846153846153846,-0.0461538461538461,aggregated.interval.edge_divergence_gated,1,statement,4,2.3692307692307693,2,41,0.6307692307692307,sfl.ochiai
65,48,0.7384615384615385,-0.03076923076923077,aggregated.interval.edge_divergence_gated,2,statement,7,4.492307692307692,4,50,0.7692307692307693,sfl.ochiai
65,49,0.7538461538461538,-0.13846153846153852,aggregated.interval.edge_divergence_gated,3,statement,10,6.415384615384616,5,58,0.8923076923076924,sfl.ochiai
65,36,0.5538461538461539,-0.06153846153846154,aggregated.interval.statement_presence,1,statement,4,2.2153846153846155,2,40,0.6153846153846154,sfl.ochiai
65,47,0.7230769230769231,-0.015384615384615441,aggregated.interval.statement_presence,2,statement,7,4.276923076923077,4,48,0.7384615384615385,sfl.ochiai
65,50,0.7692307692307693,-0.12307692307692308,aggregated.interval.statement_presence,3,statement,10,6.107692307692307,5,58,0.8923076923076924,sfl.ochiai
