status,mutant_id,subject,operator,fault_kind,fault_category,mutant_file,primary_file,primary_line,evaluation_report,duplicate_report_count,strategy,target_type,prediction_count,hit,best_rank,top1_hit,top3_hit,top5_hit,top10_hit,region_size_average,region_size_max,region_size_top1,region_size_hit,region_size_top1_average,region_size_top3_average,region_size_top5_average,region_size_top10_average,hit_item_region_size,cumulative_inspection_region_at_first_hit,inspection_region_top1,inspection_region_top3,inspection_region_top5,inspection_region_top10,hit_lines,notes,dataset_id,experiment_id,method_family,sfl_coverage_ratio,sfl_entities,sfl_failed_cases,sfl_passed_cases,sfl_test_cases,sfl_total_s,strategy_label
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,,,sfl.ochiai,line,15,True,2,False,True,True,True,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1272,SFL Ochiai
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,,,sfl.tarantula,line,15,True,2,False,True,True,True,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1272,SFL Tarantula
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,,,sfl.dstar,line,15,True,2,False,True,True,True,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1272,SFL DStar (e=2)
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,,,sfl.barinel,line,15,True,2,False,True,True,True,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1272,SFL Barinel
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,,,sfl.op2,line,15,True,2,False,True,True,True,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1272,SFL Op2
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,,,sfl.ochiai,line,15,True,4,False,False,True,True,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5908,15,3,201,204,0.124,SFL Ochiai
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,,,sfl.tarantula,line,15,True,4,False,False,True,True,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5908,15,3,201,204,0.124,SFL Tarantula
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,,,sfl.dstar,line,15,True,4,False,False,True,True,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5908,15,3,201,204,0.124,SFL DStar (e=2)
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,,,sfl.barinel,line,15,True,4,False,False,True,True,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5908,15,3,201,204,0.124,SFL Barinel
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,,,sfl.op2,line,15,True,4,False,False,True,True,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5908,15,3,201,204,0.124,SFL Op2
evaluated,AddLoop_M3,AddLoop,ROR,control-flow,condition,AddLoop/AddLoop_M3.java,AddLoop/AddLoop_M3.java,14,,,sfl.ochiai,line,15,True,6,False,False,False,True,1,1,1,1,1,1,1,1,1,6,1,3,5,10,[14],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1185,SFL Ochiai
evaluated,AddLoop_M3,AddLoop,ROR,control-flow,condition,AddLoop/AddLoop_M3.java,AddLoop/AddLoop_M3.java,14,,,sfl.tarantula,line,15,True,6,False,False,False,True,1,1,1,1,1,1,1,1,1,6,1,3,5,10,[14],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1185,SFL Tarantula
evaluated,AddLoop_M3,AddLoop,ROR,control-flow,condition,AddLoop/AddLoop_M3.java,AddLoop/AddLoop_M3.java,14,,,sfl.dstar,line,15,True,6,False,False,False,True,1,1,1,1,1,1,1,1,1,6,1,3,5,10,[14],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1185,SFL DStar (e=2)
evaluated,AddLoop_M3,AddLoop,ROR,control-flow,condition,AddLoop/AddLoop_M3.java,AddLoop/AddLoop_M3.java,14,,,sfl.barinel,line,15,True,6,False,False,False,True,1,1,1,1,1,1,1,1,1,6,1,3,5,10,[14],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1185,SFL Barinel
evaluated,AddLoop_M3,AddLoop,ROR,control-flow,condition,AddLoop/AddLoop_M3.java,AddLoop/AddLoop_M3.java,14,,,sfl.op2,line,15,True,13,False,False,False,False,1,1,1,1,1,1,1,1,1,13,1,3,5,10,[14],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,2,203,205,0.1185,SFL Op2
evaluated,AddLoop_M4,AddLoop,AOR,data-flow,statement,AddLoop/AddLoop_M4.java,AddLoop/AddLoop_M4.java,20,,,sfl.ochiai,line,15,True,3,False,True,True,True,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[20],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,102,103,205,0.1198,SFL Ochiai
evaluated,AddLoop_M4,AddLoop,AOR,data-flow,statement,AddLoop/AddLoop_M4.java,AddLoop/AddLoop_M4.java,20,,,sfl.tarantula,line,15,True,4,False,False,True,True,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[20],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,SFL,0.5909,15,102,103,205,0.1198,SFL Tarantula
