status,mutant_id,subject,operator,fault_kind,fault_category,mutant_file,primary_file,primary_line,evaluation_report,duplicate_report_count,strategy,target_type,prediction_count,hit,best_rank,top1_hit,top3_hit,top5_hit,top10_hit,region_size_average,region_size_max,region_size_top1,region_size_hit,region_size_top1_average,region_size_top3_average,region_size_top5_average,region_size_top10_average,hit_item_region_size,cumulative_inspection_region_at_first_hit,inspection_region_top1,inspection_region_top3,inspection_region_top5,inspection_region_top10,hit_lines,notes
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,aggregated.composite.condition_or_interval,composite,1,True,1,True,True,True,True,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,[3],
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,aggregated.condition_node,condition,1,True,1,True,True,True,True,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,[3],
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,aggregated.interval.cct_only,interval,1,True,1,True,True,True,True,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,[3],
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,aggregated.interval.edge_divergence_gated,interval,1,False,,False,False,False,False,1.0,1,1,,1.0,1.0,1.0,1.0,,,1,1,1,1,[],
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,aggregated.interval.statement_presence,interval,1,False,,False,False,False,False,1.0,1,1,,1.0,1.0,1.0,1.0,,,1,1,1,1,[],
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,raw.condition_node,condition,1,True,1,True,True,True,True,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,[3],
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,raw.interval.cct_only,interval,1,True,1,True,True,True,True,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,[3],
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,raw.interval.edge_divergence_gated,interval,1,False,,False,False,False,False,1.0,1,1,,1.0,1.0,1.0,1.0,,,1,1,1,1,[],
evaluated,WeightedAddLoop_M1,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M1.java,WeightedAddLoop/WeightedAddLoop_M1.java,3,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M1/WeightedAddLoop/fault_localization_eval.json,1,raw.interval.statement_presence,interval,1,False,,False,False,False,False,1.0,1,1,,1.0,1.0,1.0,1.0,,,1,1,1,1,[],
evaluated,WeightedAddLoop_M2,WeightedAddLoop,BOR,control-flow,condition,WeightedAddLoop/WeightedAddLoop_M2.java,WeightedAddLoop/WeightedAddLoop_M2.java,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/csc_tmp/fl_061003_WeightedAddLoop_M2/WeightedAddLoop/fault_localization_eval.json,1,aggregated.composite.condition_or_interval,composite,4,True,1,True,True,True,True,2.5,3,2,2,2,3,3,3,2,2,2,3,3,3,[6],
