F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
2,203,condition,control-flow,AddLoop_M1,BOR,3,,density_log,evaluated,AddLoop,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
3,201,condition,control-flow,AddLoop_M2,BOR,8,,density_log,evaluated,AddLoop,2,FALSE,FALSE,3,FALSE,FALSE,4,TRUE,TRUE
2,203,condition,control-flow,AddLoop_M3,ROR,14,,density_log,evaluated,AddLoop,2,FALSE,FALSE,2,FALSE,FALSE,2,FALSE,FALSE
102,103,statement,data-flow,AddLoop_M4,AOR,20,,density_log,evaluated,AddLoop,2,FALSE,FALSE,5,TRUE,TRUE,7,TRUE,TRUE
52,103,statement,data-flow,AddLoop_M5,SUR,21,,density_log,evaluated,AddLoop,2,FALSE,FALSE,5,TRUE,TRUE,6,TRUE,TRUE
102,103,statement,data-flow,AddLoop_M6,AOR,31,,density_log,evaluated,AddLoop,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
48,54,condition,control-flow,BubbleSortFive_M1,ROR,4,,density_log,evaluated,BubbleSort,4,TRUE,FALSE,8,TRUE,FALSE,12,TRUE,TRUE
60,48,condition,control-flow,BubbleSortFive_M2,ROR,30,,density_log,evaluated,BubbleSort,4,FALSE,FALSE,8,FALSE,FALSE,10,FALSE,FALSE
0,156,condition,control-flow,BubbleSortFive_M3,BOR,52,no_tbfv_failures,density_log,not_detected,BubbleSort,,,,,,,,,
0,70,statement,data-flow,BubbleSortFive_M4,SUR,11,no_tbfv_failures,density_log,not_detected,BubbleSort,,,,,,,,,
24,48,statement,data-flow,BubbleSortFive_M5,SUR,37,,density_log,evaluated,BubbleSort,4,TRUE,TRUE,8,TRUE,TRUE,10,TRUE,TRUE
24,96,statement,data-flow,BubbleSortFive_M6,SUR,54,,density_log,evaluated,BubbleSort,4,TRUE,TRUE,6,TRUE,TRUE,10,TRUE,TRUE
24,0,condition,control-flow,LoopBubbleSortFive_M1,ROR,10,,density_log,evaluated,LoopBubbleSortFive,2,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,TRUE
24,24,condition,control-flow,LoopBubbleSortFive_M2,CR,20,,density_log,evaluated,LoopBubbleSortFive,4,FALSE,FALSE,6,FALSE,FALSE,6,FALSE,FALSE
24,0,condition,control-flow,LoopBubbleSortFive_M3,ROR,15,,density_log,evaluated,LoopBubbleSortFive,2,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE
10,45,statement,data-flow,LoopBubbleSortFive_M4,SUR,12,,density_log,evaluated,LoopBubbleSortFive,4,FALSE,FALSE,8,TRUE,TRUE,11,TRUE,TRUE
24,12,statement,data-flow,LoopBubbleSortFive_M5,SUR,25,,density_log,evaluated,LoopBubbleSortFive,4,FALSE,FALSE,8,FALSE,FALSE,11,FALSE,TRUE
18,30,statement,data-flow,LoopBubbleSortFive_M6,SUR,17,,density_log,evaluated,LoopBubbleSortFive,4,FALSE,FALSE,8,TRUE,TRUE,11,TRUE,TRUE
127,23,condition,control-flow,LoopSelectionSortFive_M1,ROR,21,,density_log,evaluated,LoopSelectionSortFive,4,FALSE,FALSE,6,FALSE,FALSE,8,FALSE,TRUE
140,30,condition,control-flow,LoopSelectionSortFive_M2,CR,4,,density_log,evaluated,LoopSelectionSortFive,4,TRUE,TRUE,8,TRUE,TRUE,10,TRUE,TRUE
74,49,condition,control-flow,LoopSelectionSortFive_M3,ROR,32,,density_log,evaluated,LoopSelectionSortFive,4,FALSE,FALSE,8,FALSE,FALSE,10,FALSE,FALSE
24,163,statement,data-flow,LoopSelectionSortFive_M4,SUR,34,,density_log,evaluated,LoopSelectionSortFive,4,TRUE,TRUE,6,TRUE,TRUE,10,TRUE,TRUE
48,0,statement,data-flow,LoopSelectionSortFive_M5,SUR,60,,density_log,evaluated,LoopSelectionSortFive,2,TRUE,FALSE,4,TRUE,FALSE,8,TRUE,FALSE
62,164,statement,data-flow,LoopSelectionSortFive_M6,SUR,23,,density_log,evaluated,LoopSelectionSortFive,4,TRUE,TRUE,9,TRUE,TRUE,13,TRUE,TRUE
24,64,condition,control-flow,OddEvenSortFive_M1,CR,4,,density_log,evaluated,OddEvenSortFive,4,TRUE,FALSE,8,TRUE,FALSE,12,TRUE,TRUE
48,0,condition,control-flow,OddEvenSortFive_M2,ROR,22,,density_log,evaluated,OddEvenSortFive,2,FALSE,FALSE,4,FALSE,FALSE,8,FALSE,TRUE
48,0,condition,control-flow,OddEvenSortFive_M3,ROR,6,,density_log,evaluated,OddEvenSortFive,2,FALSE,FALSE,4,FALSE,TRUE,8,TRUE,TRUE
24,40,statement,data-flow,OddEvenSortFive_M4,SUR,19,,density_log,evaluated,OddEvenSortFive,5,FALSE,TRUE,9,FALSE,TRUE,13,FALSE,TRUE
4,0,statement,data-flow,OddEvenSortFive_M5,SUR,28,,density_log,evaluated,OddEvenSortFive,2,TRUE,FALSE,4,TRUE,FALSE,8,TRUE,TRUE
0,56,statement,data-flow,OddEvenSortFive_M6,SUR,24,no_tbfv_failures,density_log,not_detected,OddEvenSortFive,,,,,,,,,
1,164,condition,control-flow,ScoreNormalizer_M1,BOR,3,,density_log,evaluated,ScoreNormalizer,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,160,condition,control-flow,ScoreNormalizer_M2,BOR,6,,density_log,evaluated,ScoreNormalizer,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
40,125,condition,control-flow,ScoreNormalizer_M3,ROR,13,,density_log,evaluated,ScoreNormalizer,2,FALSE,FALSE,5,TRUE,FALSE,6,TRUE,FALSE
60,108,statement,data-flow,ScoreNormalizer_M4,AOR,14,,density_log,evaluated,ScoreNormalizer,2,FALSE,TRUE,5,TRUE,TRUE,6,TRUE,TRUE
26,131,statement,data-flow,ScoreNormalizer_M5,AOR,16,,density_log,evaluated,ScoreNormalizer,3,TRUE,TRUE,5,TRUE,TRUE,8,TRUE,TRUE
48,50,statement,data-flow,ScoreNormalizer_M6,SUR,18,,density_log,evaluated,ScoreNormalizer,2,FALSE,FALSE,5,TRUE,FALSE,7,TRUE,TRUE
87,141,condition,control-flow,SelectionSortFive_M1,ROR,5,,density_log,evaluated,SelectionSort,2,FALSE,FALSE,4,FALSE,TRUE,6,FALSE,TRUE
216,48,condition,control-flow,SelectionSortFive_M2,ROR,35,,density_log,evaluated,SelectionSort,2,FALSE,FALSE,7,FALSE,FALSE,9,FALSE,FALSE
255,40,condition,control-flow,SelectionSortFive_M3,ROR,72,,density_log,evaluated,SelectionSort,2,FALSE,FALSE,7,FALSE,FALSE,9,FALSE,FALSE
