F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_file,primary_line,reason,scoring_strategy,sfl_report,status,subject,top1_barinel_hit,top1_barinel_region_lines,top1_budget,top1_dstar_hit,top1_dstar_region_lines,top1_folded_hit,top1_ochiai_hit,top1_ochiai_region_lines,top1_op2_hit,top1_op2_region_lines,top1_tarantula_hit,top1_tarantula_region_lines,top2_barinel_hit,top2_barinel_region_lines,top2_budget,top2_dstar_hit,top2_dstar_region_lines,top2_folded_hit,top2_ochiai_hit,top2_ochiai_region_lines,top2_op2_hit,top2_op2_region_lines,top2_tarantula_hit,top2_tarantula_region_lines,top3_barinel_hit,top3_barinel_region_lines,top3_budget,top3_dstar_hit,top3_dstar_region_lines,top3_folded_hit,top3_ochiai_hit,top3_ochiai_region_lines,top3_op2_hit,top3_op2_region_lines,top3_tarantula_hit,top3_tarantula_region_lines
2,203,condition,control-flow,AddLoop_M1,BOR,AddLoop/AddLoop_M1.java,3,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/FL-060701-EX_CSC_dataset/baseline-SFL-v2/AddLoop_M1/sfl_localization.json,evaluated,AddLoop,True,"[3, 5]",2,True,"[3, 5]",True,True,"[3, 5]",True,"[3, 5]",True,"[3, 5]",True,"[3, 5]",2,True,"[3, 5]",True,True,"[3, 5]",True,"[3, 5]",True,"[3, 5]",True,"[3, 5]",2,True,"[3, 5]",True,True,"[3, 5]",True,"[3, 5]",True,"[3, 5]"
3,201,condition,control-flow,AddLoop_M2,BOR,AddLoop/AddLoop_M2.java,8,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/FL-060701-EX_CSC_dataset/baseline-SFL-v2/AddLoop_M2/sfl_localization.json,evaluated,AddLoop,False,"[5, 10]",2,False,"[5, 10]",False,False,"[5, 10]",False,"[3, 5]",False,"[5, 10]",False,"[3, 5, 10]",3,False,"[3, 5, 10]",False,False,"[3, 5, 10]",False,"[3, 5, 10]",False,"[3, 5, 10]",True,"[3, 5, 8, 10]",4,True,"[3, 5, 8, 10]",True,True,"[3, 5, 8, 10]",True,"[3, 5, 8, 10]",True,"[3, 5, 8, 10]"
2,203,condition,control-flow,AddLoop_M3,ROR,AddLoop/AddLoop_M3.java,14,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/FL-060701-EX_CSC_dataset/baseline-SFL-v2/AddLoop_M3/sfl_localization.json,evaluated,AddLoop,False,"[3, 5]",2,False,"[3, 5]",False,False,"[3, 5]",False,"[3, 5]",False,"[3, 5]",False,"[3, 5]",2,False,"[3, 5]",False,False,"[3, 5]",False,"[3, 5]",False,"[3, 5]",False,"[3, 5]",2,False,"[3, 5]",False,False,"[3, 5]",False,"[3, 5]",False,"[3, 5]"
102,103,statement,data-flow,AddLoop_M4,AOR,AddLoop/AddLoop_M4.java,20,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/FL-060701-EX_CSC_dataset/baseline-SFL-v2/AddLoop_M4/sfl_localization.json,evaluated,AddLoop,False,"[5, 16]",2,False,"[16, 18]",False,False,"[16, 18]",False,"[3, 16]",False,"[5, 16]",True,"[5, 16, 18, 20, 21]",5,True,"[3, 16, 18, 20, 21]",True,True,"[3, 16, 18, 20, 21]",True,"[3, 16, 18, 20, 21]",True,"[5, 16, 18, 20, 21]",True,"[3, 5, 16, 18, 20, 21]",6,True,"[3, 13, 16, 18, 20, 21]",True,True,"[3, 13, 16, 18, 20, 21]",True,"[3, 13, 16, 18, 20, 21]",True,"[3, 5, 16, 18, 20, 21]"
52,103,statement,data-flow,AddLoop_M5,SUR,AddLoop/AddLoop_M5.java,21,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/FL-060701-EX_CSC_dataset/baseline-SFL-v2/AddLoop_M5/sfl_localization.json,evaluated,AddLoop,False,"[5, 16]",2,False,"[16, 18]",False,False,"[16, 18]",False,"[3, 16]",False,"[5, 16]",True,"[5, 16, 18, 20, 21]",5,True,"[3, 16, 18, 20, 21]",True,True,"[3, 16, 18, 20, 21]",True,"[3, 16, 18, 20, 21]",True,"[5, 16, 18, 20, 21]",True,"[3, 5, 16, 18, 20, 21]",6,True,"[3, 13, 16, 18, 20, 21]",True,True,"[3, 13, 16, 18, 20, 21]",True,"[3, 13, 16, 18, 20, 21]",True,"[3, 5, 16, 18, 20, 21]"
102,103,statement,data-flow,AddLoop_M6,AOR,AddLoop/AddLoop_M6.java,31,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/FL-060701-EX_CSC_dataset/baseline-SFL-v2/AddLoop_M6/sfl_localization.json,evaluated,AddLoop,True,"[5, 31, 32]",3,True,"[27, 31, 32]",True,True,"[27, 31, 32]",True,"[3, 31, 32]",True,"[5, 31, 32]",True,"[5, 27, 29, 31, 32]",5,True,"[3, 27, 29, 31, 32]",True,True,"[3, 27, 29, 31, 32]",True,"[3, 27, 29, 31, 32]",True,"[5, 27, 29, 31, 32]",True,"[3, 5, 27, 29, 31, 32]",6,True,"[3, 13, 27, 29, 31, 32]",True,True,"[3, 13, 27, 29, 31, 32]",True,"[3, 13, 27, 29, 31, 32]",True,"[3, 5, 27, 29, 31, 32]"
48,54,condition,control-flow,BubbleSortFive_M1,ROR,BubbleSort/BubbleSortFive_M1.java,4,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/FL-060701-EX_CSC_dataset/baseline-SFL-v2/BubbleSortFive_M1/sfl_localization.json,evaluated,BubbleSort,False,"[10, 11, 12, 36]",4,False,"[31, 36, 37, 38]",True,False,"[31, 36, 37, 38]",False,"[31, 36, 37, 38]",False,"[10, 11, 12, 36]",False,"[10, 11, 12, 31, 32, 36, 37, 38]",8,False,"[26, 27, 31, 32, 33, 36, 37, 38]",True,False,"[26, 27, 31, 32, 33, 36, 37, 38]",False,"[26, 27, 31, 32, 33, 36, 37, 38]",False,"[10, 11, 12, 31, 32, 36, 37, 38]",False,"[10, 11, 12, 31, 32, 33, 36, 37, 38, 42, 43, 44]",12,True,"[4, 9, 14, 26, 27, 28, 31, 32, 33, 36, 37, 38]",True,True,"[4, 9, 14, 26, 27, 28, 31, 32, 33, 36, 37, 38]",True,"[4, 9, 14, 26, 27, 28, 31, 32, 33, 36, 37, 38]",False,"[10, 11, 12, 31, 32, 33, 36, 37, 38, 42, 43, 44]"
60,48,condition,control-flow,BubbleSortFive_M2,ROR,BubbleSort/BubbleSortFive_M2.java,30,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/FL-060701-EX_CSC_dataset/baseline-SFL-v2/BubbleSortFive_M2/sfl_localization.json,evaluated,BubbleSort,False,"[20, 36, 37, 38]",4,False,"[20, 21, 22, 47]",False,False,"[20, 21, 22, 47]",False,"[20, 21, 22, 47]",False,"[20, 36, 37, 38]",False,"[20, 21, 22, 31, 32, 36, 37, 38]",8,False,"[4, 9, 20, 21, 22, 47, 48, 49]",False,False,"[4, 9, 20, 21, 22, 47, 48, 49]",False,"[4, 9, 20, 21, 22, 47, 48, 49]",False,"[20, 21, 22, 31, 32, 36, 37, 38]",False,"[20, 21, 22, 31, 32, 33, 36, 37, 38, 53]",10,False,"[4, 9, 14, 19, 20, 21, 22, 47, 48, 49]",False,False,"[4, 9, 14, 19, 20, 21, 22, 47, 48, 49]",False,"[4, 9, 14, 19, 20, 21, 22, 47, 48, 49]",False,"[20, 21, 22, 31, 32, 33, 36, 37, 38, 53]"
0,156,condition,control-flow,BubbleSortFive_M3,BOR,,52,budget_row_not_evaluated,coverage_x_purity,,not_detected,BubbleSort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,70,statement,data-flow,BubbleSortFive_M4,SUR,,11,budget_row_not_evaluated,coverage_x_purity,,not_detected,BubbleSort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
