F_total,P_total,aggregated_report,condition_candidates,condition_node_best_rank,condition_node_folded_edge_partition_best_rank,condition_node_folded_edge_partition_hit,condition_node_folded_edge_partition_prediction_count,condition_node_folded_edge_partition_topk,condition_node_hit,condition_node_prediction_count,condition_node_topk,eval_report,fault_category,fault_kind,interval_folded_edge_partition_best_rank,interval_folded_edge_partition_hit,interval_folded_edge_partition_prediction_count,interval_folded_edge_partition_topk,interval_folded_seed_e_best_rank,interval_folded_seed_e_hit,interval_folded_seed_e_prediction_count,interval_folded_seed_e_topk,interval_folded_seed_s_best_rank,interval_folded_seed_s_hit,interval_folded_seed_s_prediction_count,interval_folded_seed_s_topk,mutant_id,operator,raw_report,reason,scoring_strategy,seed_e_candidates,seed_s_candidates,status,subject,unstable_segment_variants
2,203,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M1/cct_folded_localization_aggregated.json,2,1,1,True,3,"{""top1"": true, ""top2"": true, ""top3"": true}",True,2,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M1/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},AddLoop_M1,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M1/cct_folded_localization.json,,coverage_x_purity,1,0,evaluated,AddLoop,1
3,201,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M2/cct_folded_localization_aggregated.json,4,3,3,True,6,"{""top1"": false, ""top2"": false, ""top3"": true}",True,4,"{""top1"": false, ""top2"": false, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M2/cct_folded_localization_eval.json,condition,control-flow,,False,2,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,2,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},AddLoop_M2,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M2/cct_folded_localization.json,,coverage_x_purity,2,0,evaluated,AddLoop,1
2,203,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M3/cct_folded_localization_aggregated.json,2,,,False,3,"{""top1"": false, ""top2"": false, ""top3"": false}",False,2,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M3/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},AddLoop_M3,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M3/cct_folded_localization.json,,coverage_x_purity,1,0,evaluated,AddLoop,1
102,103,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M4/cct_folded_localization_aggregated.json,6,,2,True,11,"{""top1"": false, ""top2"": true, ""top3"": true}",False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M4/cct_folded_localization_eval.json,statement,data-flow,2,True,5,"{""top1"": false, ""top2"": true, ""top3"": true}",2,True,5,"{""top1"": false, ""top2"": true, ""top3"": true}",,False,,{},AddLoop_M4,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M4/cct_folded_localization.json,,coverage_x_purity,5,0,evaluated,AddLoop,1
52,103,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M5/cct_folded_localization_aggregated.json,6,,2,True,11,"{""top1"": false, ""top2"": true, ""top3"": true}",False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M5/cct_folded_localization_eval.json,statement,data-flow,2,True,5,"{""top1"": false, ""top2"": true, ""top3"": true}",2,True,5,"{""top1"": false, ""top2"": true, ""top3"": true}",,False,,{},AddLoop_M5,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M5/cct_folded_localization.json,,coverage_x_purity,5,0,evaluated,AddLoop,1
102,103,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M6/cct_folded_localization_aggregated.json,6,,1,True,11,"{""top1"": true, ""top2"": true, ""top3"": true}",False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M6/cct_folded_localization_eval.json,statement,data-flow,1,True,5,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,5,"{""top1"": true, ""top2"": true, ""top3"": true}",,False,,{},AddLoop_M6,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M6/cct_folded_localization.json,,coverage_x_purity,5,0,evaluated,AddLoop,1
48,54,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M1/cct_folded_localization_aggregated.json,10,1,1,True,21,"{""top1"": true, ""top2"": true, ""top3"": true}",True,10,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M1/cct_folded_localization_eval.json,condition,control-flow,,False,11,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,11,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BubbleSortFive_M1,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M1/cct_folded_localization.json,,coverage_x_purity,11,1,evaluated,BubbleSort,2
60,48,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M2/cct_folded_localization_aggregated.json,10,6,,False,20,"{""top1"": false, ""top2"": false, ""top3"": false}",True,10,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M2/cct_folded_localization_eval.json,condition,control-flow,,False,10,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,10,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BubbleSortFive_M2,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M2/cct_folded_localization.json,,coverage_x_purity,10,1,evaluated,BubbleSort,1
0,156,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M3/cct_folded_localization_aggregated.json,0,,,,,,,,,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M3/cct_folded_localization_eval.json,condition,control-flow,,,,,,,,,,,,,BubbleSortFive_M3,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M3/cct_folded_localization.json,no_tbfv_failures,coverage_x_purity,0,0,not_detected,BubbleSort,1
0,70,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M4/cct_folded_localization_aggregated.json,0,,,,,,,,,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M4/cct_folded_localization_eval.json,statement,data-flow,,,,,,,,,,,,,BubbleSortFive_M4,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M4/cct_folded_localization.json,no_tbfv_failures,coverage_x_purity,0,0,not_detected,BubbleSort,2
