F_total,P_total,aggregated_report,candidate_count,condition_candidate_count,edge_candidate_count,fault_category,fault_kind,mutant_id,operator,primary_file,primary_line,reason,scoring_strategy,sfl_formula,status,strategy,subject,top1_budget,top1_sfl_hit,top1_sfl_region_lines,top1_unified_hit,top1_unified_region_lines,top2_budget,top2_sfl_hit,top2_sfl_region_lines,top2_unified_hit,top2_unified_region_lines,top3_budget,top3_sfl_hit,top3_sfl_region_lines,top3_unified_hit,top3_unified_region_lines,top4_budget,top4_sfl_hit,top4_sfl_region_lines,top4_unified_hit,top4_unified_region_lines,top5_budget,top5_sfl_hit,top5_sfl_region_lines,top5_unified_hit,top5_unified_region_lines,top_unified_items
2,203,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M1/cct_folded_localization_aggregated.json,3,2,1,condition,control-flow,AddLoop_M1,BOR,AddLoop/AddLoop_M1.java,3,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,AddLoop,1,False,[5],False,[5],2,True,"[3, 5]",True,"[3, 5]",2,True,"[3, 5]",True,"[3, 5]",2,True,"[3, 5]",True,"[3, 5]",2,True,"[3, 5]",True,"[3, 5]","[{'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M1.java', 'from_line': 3, 'from_condition': 'x > 100', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [5], 'region_size': 1, 'risk_score': 1.0, 'base_risk_score': 1.0, 'pass_count': 0, 'fail_count': 2, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M1.java', 'line': 3, 'condition': 'x <= -100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.00975609756097561, 'pass_count': 203, 'fail_count': 2, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M1.java', 'line': 3, 'condition': 'x > 100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.0024509803921568627, 'pass_count': 203, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
3,201,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M2/cct_folded_localization_aggregated.json,6,4,2,condition,control-flow,AddLoop_M2,BOR,AddLoop/AddLoop_M2.java,8,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,AddLoop,1,False,[5],False,[5],2,False,"[5, 10]",False,"[5, 10]",3,False,"[3, 5, 10]",False,"[3, 5, 10]",3,False,"[3, 5, 10]",False,"[3, 5, 10]",4,True,"[3, 5, 8, 10]",True,"[3, 5, 8, 10]","[{'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M2.java', 'from_line': 3, 'from_condition': 'x > 100', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [5], 'region_size': 1, 'risk_score': 0.6666666666666666, 'base_risk_score': 0.6666666666666666, 'pass_count': 0, 'fail_count': 2, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M2.java', 'from_line': 8, 'from_condition': 'y >= 100', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [10], 'region_size': 1, 'risk_score': 0.16666666666666666, 'base_risk_score': 0.16666666666666666, 'pass_count': 1, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M2.java', 'line': 3, 'condition': 'x < -100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.014705882352941176, 'pass_count': 201, 'fail_count': 3, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 3}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M2.java', 'line': 3, 'condition': 'x > 100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.006568144499178982, 'pass_count': 201, 'fail_count': 2, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M2.java', 'line': 8, 'condition': 'y >= 100', 'region_lines': [8], 'region_size': 1, 'risk_score': 0.0016583747927031507, 'pass_count': 200, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 5}]"
2,203,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M3/cct_folded_localization_aggregated.json,3,2,1,condition,control-flow,AddLoop_M3,ROR,AddLoop/AddLoop_M3.java,14,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,AddLoop,1,False,[5],False,[5],2,False,"[3, 5]",False,"[3, 5]",2,False,"[3, 5]",False,"[3, 5]",2,False,"[3, 5]",False,"[3, 5]",2,False,"[3, 5]",False,"[3, 5]","[{'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M3.java', 'from_line': 3, 'from_condition': 'x > 100', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [5], 'region_size': 1, 'risk_score': 1.0, 'base_risk_score': 1.0, 'pass_count': 0, 'fail_count': 2, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M3.java', 'line': 3, 'condition': 'x < -100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.00975609756097561, 'pass_count': 203, 'fail_count': 2, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M3.java', 'line': 3, 'condition': 'x > 100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.0024509803921568627, 'pass_count': 203, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
102,103,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M4/cct_folded_localization_aggregated.json,11,6,5,statement,data-flow,AddLoop_M4,AOR,AddLoop/AddLoop_M4.java,20,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,AddLoop,1,False,[16],False,[16],2,False,"[16, 18]",False,"[16, 18]",4,True,"[16, 18, 20, 21]",True,"[16, 18, 20, 21]",5,True,"[3, 16, 18, 20, 21]",True,"[3, 16, 18, 20, 21]",5,True,"[3, 16, 18, 20, 21]",True,"[3, 16, 18, 20, 21]","[{'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M4.java', 'from_line': 14, 'from_condition': 'y > 0', 'outcome': 'true', 'to_line': 18, 'to_condition': 'n > 0', 'region_lines': [16], 'region_size': 1, 'risk_score': 0.9803921568627451, 'base_risk_score': 0.9803921568627451, 'pass_count': 0, 'fail_count': 100, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M4.java', 'line': 18, 'condition': 'n > 0', 'region_lines': [18], 'region_size': 1, 'risk_score': 0.9803921568627451, 'pass_count': 0, 'fail_count': 100, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M4.java', 'from_line': 18, 'from_condition': 'n > 0', 'outcome': 'true', 'to_line': 18, 'to_condition': 'n > 0', 'region_lines': [20, 21], 'region_size': 2, 'risk_score': 0.9803921568627451, 'base_risk_score': 0.9803921568627451, 'pass_count': 0, 'fail_count': 100, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M4.java', 'line': 3, 'condition': 'x < -100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.4975609756097561, 'pass_count': 103, 'fail_count': 102, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M4.java', 'line': 3, 'condition': 'x > 100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.4902441368704345, 'pass_count': 103, 'fail_count': 101, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 5}]"
52,103,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M5/cct_folded_localization_aggregated.json,11,6,5,statement,data-flow,AddLoop_M5,SUR,AddLoop/AddLoop_M5.java,21,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,AddLoop,1,False,[16],False,[16],2,False,"[16, 18]",False,"[16, 18]",4,True,"[16, 18, 20, 21]",True,"[16, 18, 20, 21]",5,True,"[3, 16, 18, 20, 21]",True,"[3, 16, 18, 20, 21]",5,True,"[3, 16, 18, 20, 21]",True,"[3, 16, 18, 20, 21]","[{'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M5.java', 'from_line': 14, 'from_condition': 'y > 0', 'outcome': 'true', 'to_line': 18, 'to_condition': 'n > 0', 'region_lines': [16], 'region_size': 1, 'risk_score': 0.9615384615384616, 'base_risk_score': 0.9615384615384616, 'pass_count': 0, 'fail_count': 50, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M5.java', 'line': 18, 'condition': 'n > 0', 'region_lines': [18], 'region_size': 1, 'risk_score': 0.9615384615384616, 'pass_count': 0, 'fail_count': 50, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M5.java', 'from_line': 18, 'from_condition': 'n > 0', 'outcome': 'true', 'to_line': 18, 'to_condition': 'n > 0', 'region_lines': [20, 21], 'region_size': 2, 'risk_score': 0.9615384615384616, 'base_risk_score': 0.9615384615384616, 'pass_count': 0, 'fail_count': 50, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M5.java', 'line': 3, 'condition': 'x < -100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.33548387096774196, 'pass_count': 103, 'fail_count': 52, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M5.java', 'line': 3, 'condition': 'x > 100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.3248001998001998, 'pass_count': 103, 'fail_count': 51, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 5}]"
102,103,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/AddLoop_M6/cct_folded_localization_aggregated.json,11,6,5,statement,data-flow,AddLoop_M6,AOR,AddLoop/AddLoop_M6.java,31,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,AddLoop,2,True,"[31, 32]",True,"[31, 32]",3,True,"[27, 31, 32]",True,"[29, 31, 32]",4,True,"[27, 29, 31, 32]",True,"[27, 29, 31, 32]",5,True,"[3, 27, 29, 31, 32]",True,"[3, 27, 29, 31, 32]",5,True,"[3, 27, 29, 31, 32]",True,"[3, 27, 29, 31, 32]","[{'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M6.java', 'from_line': 29, 'from_condition': 'n > 0', 'outcome': 'true', 'to_line': 29, 'to_condition': 'n > 0', 'region_lines': [31, 32], 'region_size': 2, 'risk_score': 0.9803921568627451, 'base_risk_score': 0.9803921568627451, 'pass_count': 0, 'fail_count': 100, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M6.java', 'line': 29, 'condition': 'n > 0', 'region_lines': [29], 'region_size': 1, 'risk_score': 0.9706853038245, 'pass_count': 1, 'fail_count': 100, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'edge_partition', 'source_file': 'AddLoop/AddLoop_M6.java', 'from_line': 14, 'from_condition': 'y > 0', 'outcome': 'false', 'to_line': 29, 'to_condition': 'n > 0', 'region_lines': [27], 'region_size': 1, 'risk_score': 0.9706853038245, 'base_risk_score': 0.9706853038245, 'pass_count': 1, 'fail_count': 100, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M6.java', 'line': 3, 'condition': 'x < -100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.4975609756097561, 'pass_count': 103, 'fail_count': 102, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'condition', 'source_file': 'AddLoop/AddLoop_M6.java', 'line': 3, 'condition': 'x > 100', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.4902441368704345, 'pass_count': 103, 'fail_count': 101, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 5}]"
48,54,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M1/cct_folded_localization_aggregated.json,21,10,11,condition,control-flow,BubbleSortFive_M1,ROR,BubbleSort/BubbleSortFive_M1.java,4,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BubbleSort,3,False,"[36, 37, 38]",False,"[36, 37, 38]",6,False,"[31, 32, 33, 36, 37, 38]",False,"[31, 32, 33, 36, 37, 38]",9,False,"[26, 27, 28, 31, 32, 33, 36, 37, 38]",False,"[26, 27, 28, 31, 32, 33, 36, 37, 38]",10,True,"[4, 26, 27, 28, 31, 32, 33, 36, 37, 38]",True,"[4, 26, 27, 28, 31, 32, 33, 36, 37, 38]",11,True,"[4, 9, 26, 27, 28, 31, 32, 33, 36, 37, 38]",True,"[4, 9, 26, 27, 28, 31, 32, 33, 36, 37, 38]","[{'kind': 'edge_partition', 'source_file': 'BubbleSort/BubbleSortFive_M1.java', 'from_line': 35, 'from_condition': 'c > d', 'outcome': 'true', 'to_line': 41, 'to_condition': 'a > b', 'region_lines': [36, 37, 38], 'region_size': 3, 'risk_score': 0.7058823529411765, 'base_risk_score': 0.7058823529411765, 'pass_count': 20, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'BubbleSort/BubbleSortFive_M1.java', 'from_line': 30, 'from_condition': 'b > c', 'outcome': 'true', 'to_line': 35, 'to_condition': 'c > d', 'region_lines': [31, 32, 33], 'region_size': 3, 'risk_score': 0.6857142857142857, 'base_risk_score': 0.6857142857142857, 'pass_count': 22, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'edge_partition', 'source_file': 'BubbleSort/BubbleSortFive_M1.java', 'from_line': 25, 'from_condition': 'a > b', 'outcome': 'true', 'to_line': 30, 'to_condition': 'b > c', 'region_lines': [26, 27, 28], 'region_size': 3, 'risk_score': 0.5333333333333333, 'base_risk_score': 0.5333333333333333, 'pass_count': 42, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 3}, {'kind': 'condition', 'source_file': 'BubbleSort/BubbleSortFive_M1.java', 'line': 4, 'condition': 'a < b', 'region_lines': [4], 'region_size': 1, 'risk_score': 0.47058823529411764, 'pass_count': 54, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 4}, {'kind': 'condition', 'source_file': 'BubbleSort/BubbleSortFive_M1.java', 'line': 9, 'condition': 'b > c', 'region_lines': [9], 'region_size': 1, 'risk_score': 0.47058823529411764, 'pass_count': 54, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 5}]"
60,48,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M2/cct_folded_localization_aggregated.json,20,10,10,condition,control-flow,BubbleSortFive_M2,ROR,BubbleSort/BubbleSortFive_M2.java,30,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BubbleSort,3,False,"[20, 21, 22]",False,"[20, 21, 22]",6,False,"[20, 21, 22, 47, 48, 49]",False,"[20, 21, 22, 47, 48, 49]",7,False,"[4, 20, 21, 22, 47, 48, 49]",False,"[20, 21, 22, 47, 48, 49, 57]",8,False,"[4, 9, 20, 21, 22, 47, 48, 49]",False,"[4, 20, 21, 22, 47, 48, 49, 57]",9,False,"[4, 9, 14, 20, 21, 22, 47, 48, 49]",False,"[4, 9, 20, 21, 22, 47, 48, 49, 57]","[{'kind': 'edge_partition', 'source_file': 'BubbleSort/BubbleSortFive_M2.java', 'from_line': 19, 'from_condition': 'd > e', 'outcome': 'true', 'to_line': 25, 'to_condition': 'a > b', 'region_lines': [20, 21, 22], 'region_size': 3, 'risk_score': 0.8, 'base_risk_score': 0.8, 'pass_count': 15, 'fail_count': 60, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'BubbleSort/BubbleSortFive_M2.java', 'from_line': 46, 'from_condition': 'b > c', 'outcome': 'true', 'to_line': 52, 'to_condition': 'a > b', 'region_lines': [47, 48, 49], 'region_size': 3, 'risk_score': 0.6666666666666666, 'base_risk_score': 0.6666666666666666, 'pass_count': 30, 'fail_count': 60, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'edge_partition', 'source_file': 'BubbleSort/BubbleSortFive_M2.java', 'from_line': 52, 'from_condition': 'a > b', 'outcome': 'false', 'to_line': None, 'to_condition': None, 'region_lines': [57], 'region_size': 1, 'risk_score': 0.5818181818181819, 'base_risk_score': 0.5818181818181819, 'pass_count': 30, 'fail_count': 48, 'support_count': 2, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 3}, {'kind': 'condition', 'source_file': 'BubbleSort/BubbleSortFive_M2.java', 'line': 4, 'condition': 'a > b', 'region_lines': [4], 'region_size': 1, 'risk_score': 0.5555555555555556, 'pass_count': 48, 'fail_count': 60, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 4}, {'kind': 'condition', 'source_file': 'BubbleSort/BubbleSortFive_M2.java', 'line': 9, 'condition': 'b > c', 'region_lines': [9], 'region_size': 1, 'risk_score': 0.5555555555555556, 'pass_count': 48, 'fail_count': 60, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 5}]"
0,156,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M3/cct_folded_localization_aggregated.json,,,,condition,control-flow,BubbleSortFive_M3,BOR,,,folded_row_not_evaluated,coverage_x_purity,,not_detected,,BubbleSort,,,,,,,,,,,,,,,,,,,,,,,,,,
0,70,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M4/cct_folded_localization_aggregated.json,,,,statement,data-flow,BubbleSortFive_M4,SUR,,,folded_row_not_evaluated,coverage_x_purity,,not_detected,,BubbleSort,,,,,,,,,,,,,,,,,,,,,,,,,,
