covered_leaves,empty_leaves,expanded_leaves,infeasible_leaves,internal_nodes,leaf_nodes,max_depth,mode,out_of_range_leaves,subject,tests,total_nodes,wall_time_s
5,4,0,1,9,6,6,CSC-only,0,BoundedAbundantNumber,5,15,1.8941346659557894
5,2,0,3,9,8,7,CSC-only,0,BoundedEvilNumber,5,17,1.753148291958496
12,0,0,3,14,15,10,CSC-only,0,BoundedIntPower,12,29,3.712723750039004
5,2,0,2,8,7,6,CSC-only,0,BoundedKrishnamurthyNumber,5,15,1.7634978330461308
4,2,0,2,7,6,6,CSC-only,0,BoundedPerfectNumber,4,13,1.466771042032633
4,0,0,3,6,7,6,CSC-only,0,BoundedPrimeClassifier,4,13,1.4973947500111535
4,2,0,3,8,7,8,CSC-only,0,BoundedPronicNumber,4,15,1.5063315000152215
10,2,0,6,17,16,11,CSC-only,0,SaturatedIntPower,10,33,3.2210233330260962
50,0,45,531,580,581,52,CSC+Boundary,0,BoundedAbundantNumber,50,1161,24.156539082992822
103,0,99,265,367,368,19,CSC+Boundary,0,BoundedEvilNumber,103,735,30.738241166982334
30,0,21,6,35,36,17,CSC+Boundary,0,BoundedIntPower,30,71,9.73685333400499
172,0,169,341,513,514,26,CSC+Boundary,1,BoundedKrishnamurthyNumber,172,1027,52.444900208036415
52,0,48,1410,1461,1462,102,CSC+Boundary,0,BoundedPerfectNumber,52,2923,62.806959167006426
51,0,49,1478,1528,1529,104,CSC+Boundary,0,BoundedPrimeClassifier,51,3057,64.05473191698547
53,0,49,60,112,113,106,CSC+Boundary,0,BoundedPronicNumber,53,225,21.15266016696114
38,0,28,16,53,54,17,CSC+Boundary,0,SaturatedIntPower,38,107,15.59524875000352
