method_family,strategy,target_type,status,mutant_id,subject,operator,fault_kind,fault_category,mutant_file,primary_file,primary_line,hit,best_rank,top1_hit,top3_hit,top5_hit,top10_hit,prediction_count,region_size_average,region_size_max,region_size_hit,region_size_top1,region_size_top1_average,region_size_top3_average,region_size_top5_average,region_size_top10_average,hit_item_region_size,cumulative_inspection_region_at_first_hit,inspection_region_top1,inspection_region_top3,inspection_region_top5,inspection_region_top10,hit_lines,sfl_entities,sfl_test_cases,sfl_failed_cases,sfl_passed_cases,sfl_coverage_ratio,sfl_total_s,strategy_label,notes
SFL,sfl.ochiai,line,evaluated,BoundedAbundantNumber_M1,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,3,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],11,49,1,48,0.7625,0.0078,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedAbundantNumber_M1,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,3,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],11,49,1,48,0.7625,0.0078,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedAbundantNumber_M1,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,3,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],11,49,1,48,0.7625,0.0078,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedAbundantNumber_M1,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,3,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],11,49,1,48,0.7625,0.0078,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedAbundantNumber_M1,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,BoundedAbundantNumber/BoundedAbundantNumber_M1.java,3,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],11,49,1,48,0.7625,0.0078,SFL Op2,
SFL,sfl.ochiai,line,evaluated,BoundedAbundantNumber_M2,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,9,True,7,False,False,False,True,11,1,1,1,1,1,1,1,1,1,7,1,3,5,10,[9],11,48,7,41,0.7633,0.0074,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedAbundantNumber_M2,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,9,True,7,False,False,False,True,11,1,1,1,1,1,1,1,1,1,7,1,3,5,10,[9],11,48,7,41,0.7633,0.0074,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedAbundantNumber_M2,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,9,True,7,False,False,False,True,11,1,1,1,1,1,1,1,1,1,7,1,3,5,10,[9],11,48,7,41,0.7633,0.0074,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedAbundantNumber_M2,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,9,True,7,False,False,False,True,11,1,1,1,1,1,1,1,1,1,7,1,3,5,10,[9],11,48,7,41,0.7633,0.0074,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedAbundantNumber_M2,BoundedAbundantNumber,BOR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,BoundedAbundantNumber/BoundedAbundantNumber_M2.java,9,True,7,False,False,False,True,11,1,1,1,1,1,1,1,1,1,7,1,3,5,10,[9],11,48,7,41,0.7633,0.0074,SFL Op2,
SFL,sfl.ochiai,line,evaluated,BoundedAbundantNumber_M3,BoundedAbundantNumber,ROR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,16,True,5,False,False,True,True,11,1,1,1,1,1,1,1,1,1,5,1,3,5,10,[16],11,51,3,48,0.7594,0.0079,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedAbundantNumber_M3,BoundedAbundantNumber,ROR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,16,True,5,False,False,True,True,11,1,1,1,1,1,1,1,1,1,5,1,3,5,10,[16],11,51,3,48,0.7594,0.0079,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedAbundantNumber_M3,BoundedAbundantNumber,ROR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,16,True,5,False,False,True,True,11,1,1,1,1,1,1,1,1,1,5,1,3,5,10,[16],11,51,3,48,0.7594,0.0079,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedAbundantNumber_M3,BoundedAbundantNumber,ROR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,16,True,5,False,False,True,True,11,1,1,1,1,1,1,1,1,1,5,1,3,5,10,[16],11,51,3,48,0.7594,0.0079,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedAbundantNumber_M3,BoundedAbundantNumber,ROR,control-flow,condition,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,BoundedAbundantNumber/BoundedAbundantNumber_M3.java,16,True,5,False,False,True,True,11,1,1,1,1,1,1,1,1,1,5,1,3,5,10,[16],11,51,3,48,0.7594,0.0079,SFL Op2,
SFL,sfl.ochiai,line,no_metrics,BoundedAbundantNumber_M4,BoundedAbundantNumber,CR,data-flow,statement,BoundedAbundantNumber/BoundedAbundantNumber_M4.java,BoundedAbundantNumber/BoundedAbundantNumber_M4.java,7,False,,False,False,False,False,0,,,,0,0,0,0,0,,,0,0,0,0,[],0,,,,,,SFL Ochiai,no TBFV failures for SFL spectrum
SFL,sfl.tarantula,line,no_metrics,BoundedAbundantNumber_M4,BoundedAbundantNumber,CR,data-flow,statement,BoundedAbundantNumber/BoundedAbundantNumber_M4.java,BoundedAbundantNumber/BoundedAbundantNumber_M4.java,7,False,,False,False,False,False,0,,,,0,0,0,0,0,,,0,0,0,0,[],0,,,,,,SFL Tarantula,no TBFV failures for SFL spectrum
SFL,sfl.dstar,line,no_metrics,BoundedAbundantNumber_M4,BoundedAbundantNumber,CR,data-flow,statement,BoundedAbundantNumber/BoundedAbundantNumber_M4.java,BoundedAbundantNumber/BoundedAbundantNumber_M4.java,7,False,,False,False,False,False,0,,,,0,0,0,0,0,,,0,0,0,0,[],0,,,,,,SFL DStar (e=2),no TBFV failures for SFL spectrum
