F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_file,primary_line,reason,scoring_strategy,sfl_report,status,subject,top1_barinel_hit,top1_barinel_region_lines,top1_budget,top1_dstar_hit,top1_dstar_region_lines,top1_folded_hit,top1_ochiai_hit,top1_ochiai_region_lines,top1_op2_hit,top1_op2_region_lines,top1_tarantula_hit,top1_tarantula_region_lines,top2_barinel_hit,top2_barinel_region_lines,top2_budget,top2_dstar_hit,top2_dstar_region_lines,top2_folded_hit,top2_ochiai_hit,top2_ochiai_region_lines,top2_op2_hit,top2_op2_region_lines,top2_tarantula_hit,top2_tarantula_region_lines,top3_barinel_hit,top3_barinel_region_lines,top3_budget,top3_dstar_hit,top3_dstar_region_lines,top3_folded_hit,top3_ochiai_hit,top3_ochiai_region_lines,top3_op2_hit,top3_op2_region_lines,top3_tarantula_hit,top3_tarantula_region_lines
1,29,condition,control-flow,BoundedIntPower_M1,BOR,BoundedIntPower/BoundedIntPower_M1.java,3,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/baseline-SFL/BoundedIntPower_M1/sfl_localization.json,evaluated,BoundedIntPower,True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]"
1,26,condition,control-flow,BoundedIntPower_M2,BOR,BoundedIntPower/BoundedIntPower_M2.java,6,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/baseline-SFL/BoundedIntPower_M2/sfl_localization.json,evaluated,BoundedIntPower,True,"[6, 7]",2,True,"[6, 7]",True,True,"[6, 7]",True,"[6, 7]",True,"[6, 7]",True,"[6, 7]",2,True,"[6, 7]",True,True,"[6, 7]",True,"[6, 7]",True,"[6, 7]",True,"[3, 6, 7]",3,True,"[3, 6, 7]",True,True,"[3, 6, 7]",True,"[3, 6, 7]",True,"[3, 6, 7]"
0,30,condition,control-flow,BoundedIntPower_M3,ROR,,18,budget_row_not_evaluated,coverage_x_purity,,not_detected,BoundedIntPower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6,statement,data-flow,BoundedIntPower_M4,AOR,BoundedIntPower/BoundedIntPower_M4.java,25,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/baseline-SFL/BoundedIntPower_M4/sfl_localization.json,evaluated,BoundedIntPower,False,"[17, 18]",2,False,"[17, 18]",False,False,"[17, 18]",False,"[17, 18]",False,"[17, 18]",False,"[17, 18, 19, 22]",4,False,"[17, 18, 22, 23]",False,False,"[17, 18, 22, 23]",False,"[17, 18, 22, 23]",False,"[17, 18, 19, 22]",True,"[17, 18, 19, 22, 23, 24, 25]",7,True,"[17, 18, 22, 23, 24, 25, 26]",True,True,"[17, 18, 22, 23, 24, 25, 26]",True,"[17, 18, 22, 23, 24, 25, 26]",True,"[17, 18, 19, 22, 23, 24, 25]"
12,6,statement,data-flow,BoundedIntPower_M5,SUR,BoundedIntPower/BoundedIntPower_M5.java,26,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/baseline-SFL/BoundedIntPower_M5/sfl_localization.json,evaluated,BoundedIntPower,False,"[17, 18]",2,False,"[17, 18]",False,False,"[17, 18]",False,"[17, 18]",False,"[17, 18]",False,"[17, 18, 19, 22]",4,False,"[17, 18, 22, 23]",False,False,"[17, 18, 22, 23]",False,"[17, 18, 22, 23]",False,"[17, 18, 19, 22]",False,"[17, 18, 19, 22, 23, 24, 25]",7,True,"[17, 18, 22, 23, 24, 25, 26]",True,True,"[17, 18, 22, 23, 24, 25, 26]",True,"[17, 18, 22, 23, 24, 25, 26]",False,"[17, 18, 19, 22, 23, 24, 25]"
24,6,statement,data-flow,BoundedIntPower_M6,RVR,BoundedIntPower/BoundedIntPower_M6.java,28,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/baseline-SFL/BoundedIntPower_M6/sfl_localization.json,evaluated,BoundedIntPower,False,"[17, 18]",2,False,"[17, 18]",False,False,"[17, 18]",False,"[17, 18]",False,"[17, 18]",False,"[17, 18, 19, 22]",4,False,"[17, 18, 22, 23]",True,False,"[17, 18, 22, 23]",False,"[17, 18, 22, 23]",False,"[17, 18, 19, 22]",False,"[17, 18, 19, 22, 23, 24, 25]",7,False,"[17, 18, 22, 23, 24, 25, 26]",True,False,"[17, 18, 22, 23, 24, 25, 26]",False,"[17, 18, 22, 23, 24, 25, 26]",False,"[17, 18, 19, 22, 23, 24, 25]"
1,36,condition,control-flow,SaturatedIntPower_M1,BOR,SaturatedIntPower/SaturatedIntPower_M1.java,3,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/baseline-SFL/SaturatedIntPower_M1/sfl_localization.json,evaluated,SaturatedIntPower,True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]"
19,19,condition,control-flow,SaturatedIntPower_M2,ROR,SaturatedIntPower/SaturatedIntPower_M2.java,11,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/baseline-SFL/SaturatedIntPower_M2/sfl_localization.json,evaluated,SaturatedIntPower,False,"[12, 30, 33]",3,False,"[23, 24, 25]",False,False,"[23, 24, 25]",False,"[23, 24, 25]",False,"[12, 30, 33]",False,"[12, 23, 24, 25, 30, 33]",6,False,"[23, 24, 25, 26, 27, 29]",False,False,"[23, 24, 25, 26, 27, 29]",False,"[23, 24, 25, 26, 27, 29]",False,"[12, 23, 24, 25, 30, 33]",False,"[12, 23, 24, 25, 26, 27, 29, 30, 33]",9,True,"[10, 11, 19, 23, 24, 25, 26, 27, 29]",False,True,"[10, 11, 19, 23, 24, 25, 26, 27, 29]",True,"[10, 11, 19, 23, 24, 25, 26, 27, 29]",False,"[12, 23, 24, 25, 26, 27, 29, 30, 33]"
0,38,condition,control-flow,SaturatedIntPower_M3,BOR,,29,budget_row_not_evaluated,coverage_x_purity,,not_detected,SaturatedIntPower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,30,statement,data-flow,SaturatedIntPower_M4,CR,SaturatedIntPower/SaturatedIntPower_M4.java,10,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/baseline-SFL/SaturatedIntPower_M4/sfl_localization.json,evaluated,SaturatedIntPower,False,"[30, 33]",2,False,"[23, 30]",False,False,"[23, 30]",False,"[23, 24]",False,"[30, 33]",False,"[23, 24, 25, 30, 33]",5,False,"[23, 24, 25, 26, 30]",False,False,"[23, 24, 25, 26, 30]",False,"[23, 24, 25, 26, 27]",False,"[23, 24, 25, 30, 33]",False,"[23, 24, 25, 26, 27, 29, 30, 33]",8,False,"[19, 23, 24, 25, 26, 27, 29, 30]",False,False,"[19, 23, 24, 25, 26, 27, 29, 30]",True,"[10, 19, 23, 24, 25, 26, 27, 29]",False,"[23, 24, 25, 26, 27, 29, 30, 33]"
