F_total,P_total,aggregated_report,condition_candidates,condition_node_best_rank,condition_node_folded_edge_partition_best_rank,condition_node_folded_edge_partition_hit,condition_node_folded_edge_partition_prediction_count,condition_node_folded_edge_partition_topk,condition_node_hit,condition_node_prediction_count,condition_node_topk,eval_report,fault_category,fault_kind,interval_folded_edge_partition_best_rank,interval_folded_edge_partition_hit,interval_folded_edge_partition_prediction_count,interval_folded_edge_partition_topk,interval_folded_seed_e_best_rank,interval_folded_seed_e_hit,interval_folded_seed_e_prediction_count,interval_folded_seed_e_topk,interval_folded_seed_s_best_rank,interval_folded_seed_s_hit,interval_folded_seed_s_prediction_count,interval_folded_seed_s_topk,mutant_id,operator,raw_report,reason,scoring_strategy,seed_e_candidates,seed_s_candidates,status,subject,unstable_segment_variants
1,29,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M1/cct_folded_localization_aggregated.json,1,1,1,True,2,"{""top1"": true, ""top3"": true, ""top5"": true, ""top10"": true}",True,1,"{""top1"": true, ""top3"": true, ""top5"": true, ""top10"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M1/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",,False,,{},BoundedIntPower_M1,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M1/cct_folded_localization.json,,coverage_x_purity,1,0,evaluated,BoundedIntPower,1
1,26,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M2/cct_folded_localization_aggregated.json,4,1,1,True,5,"{""top1"": true, ""top3"": true, ""top5"": true, ""top10"": true}",True,4,"{""top1"": true, ""top3"": true, ""top5"": true, ""top10"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M2/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",,False,,{},BoundedIntPower_M2,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M2/cct_folded_localization.json,,coverage_x_purity,1,0,evaluated,BoundedIntPower,1
0,30,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M3/cct_folded_localization_aggregated.json,0,,,,,,,,,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M3/cct_folded_localization_eval.json,condition,control-flow,,,,,,,,,,,,,BoundedIntPower_M3,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M3/cct_folded_localization.json,no_tbfv_failures,coverage_x_purity,0,0,not_detected,BoundedIntPower,1
24,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M4/cct_folded_localization_aggregated.json,9,,3,True,15,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",False,9,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M4/cct_folded_localization_eval.json,statement,data-flow,3,True,6,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",3,True,5,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",BoundedIntPower_M4,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M4/cct_folded_localization.json,,coverage_x_purity,5,1,evaluated,BoundedIntPower,1
12,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M5/cct_folded_localization_aggregated.json,9,,3,True,15,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",False,9,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M5/cct_folded_localization_eval.json,statement,data-flow,3,True,6,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",3,True,5,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",BoundedIntPower_M5,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M5/cct_folded_localization.json,,coverage_x_purity,5,1,evaluated,BoundedIntPower,1
24,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M6/cct_folded_localization_aggregated.json,9,,3,True,15,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",False,9,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M6/cct_folded_localization_eval.json,statement,data-flow,2,True,6,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",2,True,5,"{""top1"": false, ""top3"": true, ""top5"": true, ""top10"": true}",,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",BoundedIntPower_M6,RVR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M6/cct_folded_localization.json,,coverage_x_purity,5,1,evaluated,BoundedIntPower,1
1,36,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M1/cct_folded_localization_aggregated.json,2,1,1,True,3,"{""top1"": true, ""top3"": true, ""top5"": true, ""top10"": true}",True,2,"{""top1"": true, ""top3"": true, ""top5"": true, ""top10"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M1/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",,False,,{},SaturatedIntPower_M1,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M1/cct_folded_localization.json,,coverage_x_purity,1,0,evaluated,SaturatedIntPower,2
19,19,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M2/cct_folded_localization_aggregated.json,10,4,5,True,17,"{""top1"": false, ""top3"": false, ""top5"": true, ""top10"": true}",True,10,"{""top1"": false, ""top3"": false, ""top5"": true, ""top10"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M2/cct_folded_localization_eval.json,condition,control-flow,,False,7,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",,False,7,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",SaturatedIntPower_M2,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M2/cct_folded_localization.json,,coverage_x_purity,7,1,evaluated,SaturatedIntPower,2
0,38,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M3/cct_folded_localization_aggregated.json,0,,,,,,,,,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M3/cct_folded_localization_eval.json,condition,control-flow,,,,,,,,,,,,,SaturatedIntPower_M3,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M3/cct_folded_localization.json,no_tbfv_failures,coverage_x_purity,0,0,not_detected,SaturatedIntPower,2
8,30,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M4/cct_folded_localization_aggregated.json,10,,5,True,16,"{""top1"": false, ""top3"": false, ""top5"": true, ""top10"": true}",False,10,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M4/cct_folded_localization_eval.json,statement,data-flow,4,True,6,"{""top1"": false, ""top3"": false, ""top5"": true, ""top10"": true}",4,True,5,"{""top1"": false, ""top3"": false, ""top5"": true, ""top10"": true}",,False,1,"{""top1"": false, ""top3"": false, ""top5"": false, ""top10"": false}",SaturatedIntPower_M4,CR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M4/cct_folded_localization.json,,coverage_x_purity,5,1,evaluated,SaturatedIntPower,2
