method_family,strategy,target_type,status,mutant_id,subject,operator,fault_kind,fault_category,mutant_file,primary_file,primary_line,hit,best_rank,top1_hit,top3_hit,top5_hit,top10_hit,prediction_count,region_size_average,region_size_max,region_size_hit,region_size_top1,region_size_top1_average,region_size_top3_average,region_size_top5_average,region_size_top10_average,hit_item_region_size,cumulative_inspection_region_at_first_hit,inspection_region_top1,inspection_region_top3,inspection_region_top5,inspection_region_top10,hit_lines,sfl_entities,sfl_test_cases,sfl_failed_cases,sfl_passed_cases,sfl_coverage_ratio,sfl_total_s,strategy_label,notes
SFL,sfl.ochiai,line,evaluated,BoundedAliquotClassifier_M1,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,3,True,2,False,True,True,True,13,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],13,51,1,50,0.7421,0.0146,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedAliquotClassifier_M1,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,3,True,2,False,True,True,True,13,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],13,51,1,50,0.7421,0.0146,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedAliquotClassifier_M1,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,3,True,2,False,True,True,True,13,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],13,51,1,50,0.7421,0.0146,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedAliquotClassifier_M1,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,3,True,2,False,True,True,True,13,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],13,51,1,50,0.7421,0.0146,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedAliquotClassifier_M1,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,3,True,2,False,True,True,True,13,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],13,51,1,50,0.7421,0.0146,SFL Op2,
SFL,sfl.ochiai,line,evaluated,BoundedAliquotClassifier_M2,BoundedAliquotClassifier,ROR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,9,True,3,False,True,True,True,12,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[9],12,52,41,11,0.8061,0.0147,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedAliquotClassifier_M2,BoundedAliquotClassifier,ROR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,9,True,4,False,False,True,True,12,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[9],12,52,41,11,0.8061,0.0147,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedAliquotClassifier_M2,BoundedAliquotClassifier,ROR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,9,True,3,False,True,True,True,12,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[9],12,52,41,11,0.8061,0.0147,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedAliquotClassifier_M2,BoundedAliquotClassifier,ROR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,9,True,4,False,False,True,True,12,1,1,1,1,1,1,1,1,1,4,1,3,5,10,[9],12,52,41,11,0.8061,0.0147,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedAliquotClassifier_M2,BoundedAliquotClassifier,ROR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,9,True,3,False,True,True,True,12,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[9],12,52,41,11,0.8061,0.0147,SFL Op2,
SFL,sfl.ochiai,line,no_metrics,BoundedAliquotClassifier_M3,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,19,False,,False,False,False,False,0,,,,0,0,0,0,0,,,0,0,0,0,[],0,,,,,,SFL Ochiai,no TBFV failures for SFL spectrum
SFL,sfl.tarantula,line,no_metrics,BoundedAliquotClassifier_M3,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,19,False,,False,False,False,False,0,,,,0,0,0,0,0,,,0,0,0,0,[],0,,,,,,SFL Tarantula,no TBFV failures for SFL spectrum
SFL,sfl.dstar,line,no_metrics,BoundedAliquotClassifier_M3,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,19,False,,False,False,False,False,0,,,,0,0,0,0,0,,,0,0,0,0,[],0,,,,,,SFL DStar (e=2),no TBFV failures for SFL spectrum
SFL,sfl.barinel,line,no_metrics,BoundedAliquotClassifier_M3,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,19,False,,False,False,False,False,0,,,,0,0,0,0,0,,,0,0,0,0,[],0,,,,,,SFL Barinel,no TBFV failures for SFL spectrum
SFL,sfl.op2,line,no_metrics,BoundedAliquotClassifier_M3,BoundedAliquotClassifier,BOR,control-flow,condition,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M3.java,19,False,,False,False,False,False,0,,,,0,0,0,0,0,,,0,0,0,0,[],0,,,,,,SFL Op2,no TBFV failures for SFL spectrum
SFL,sfl.ochiai,line,evaluated,BoundedAliquotClassifier_M4,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,11,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[11],11,52,11,41,0.8759,0.014,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedAliquotClassifier_M4,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,11,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[11],11,52,11,41,0.8759,0.014,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedAliquotClassifier_M4,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,11,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[11],11,52,11,41,0.8759,0.014,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedAliquotClassifier_M4,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,11,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[11],11,52,11,41,0.8759,0.014,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedAliquotClassifier_M4,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,11,True,2,False,True,True,True,11,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[11],11,52,11,41,0.8759,0.014,SFL Op2,
SFL,sfl.ochiai,line,evaluated,BoundedAliquotClassifier_M5,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,13,True,3,False,True,True,True,11,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[13],11,49,11,38,0.8738,0.0086,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedAliquotClassifier_M5,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,13,True,3,False,True,True,True,11,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[13],11,49,11,38,0.8738,0.0086,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedAliquotClassifier_M5,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,13,True,3,False,True,True,True,11,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[13],11,49,11,38,0.8738,0.0086,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedAliquotClassifier_M5,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,13,True,3,False,True,True,True,11,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[13],11,49,11,38,0.8738,0.0086,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedAliquotClassifier_M5,BoundedAliquotClassifier,AOR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,13,True,3,False,True,True,True,11,1,1,1,1,1,1,1,1,1,3,1,3,5,10,[13],11,49,11,38,0.8738,0.0086,SFL Op2,
SFL,sfl.ochiai,line,evaluated,BoundedAliquotClassifier_M6,BoundedAliquotClassifier,CR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,22,True,1,True,True,True,True,13,1,1,1,1,1,1,1,1,1,1,1,3,5,10,[22],13,52,39,13,0.7382,0.0145,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedAliquotClassifier_M6,BoundedAliquotClassifier,CR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,22,True,1,True,True,True,True,13,1,1,1,1,1,1,1,1,1,1,1,3,5,10,[22],13,52,39,13,0.7382,0.0145,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedAliquotClassifier_M6,BoundedAliquotClassifier,CR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,22,True,1,True,True,True,True,13,1,1,1,1,1,1,1,1,1,1,1,3,5,10,[22],13,52,39,13,0.7382,0.0145,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedAliquotClassifier_M6,BoundedAliquotClassifier,CR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,22,True,1,True,True,True,True,13,1,1,1,1,1,1,1,1,1,1,1,3,5,10,[22],13,52,39,13,0.7382,0.0145,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedAliquotClassifier_M6,BoundedAliquotClassifier,CR,data-flow,statement,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,22,True,1,True,True,True,True,13,1,1,1,1,1,1,1,1,1,1,1,3,5,10,[22],13,52,39,13,0.7382,0.0145,SFL Op2,
SFL,sfl.ochiai,line,evaluated,BoundedBinaryPalindromeClassifier_M1,BoundedBinaryPalindromeClassifier,BOR,control-flow,condition,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,3,True,2,False,True,True,True,19,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],19,66,1,65,0.8517,0.0095,SFL Ochiai,
SFL,sfl.tarantula,line,evaluated,BoundedBinaryPalindromeClassifier_M1,BoundedBinaryPalindromeClassifier,BOR,control-flow,condition,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,3,True,2,False,True,True,True,19,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],19,66,1,65,0.8517,0.0095,SFL Tarantula,
SFL,sfl.dstar,line,evaluated,BoundedBinaryPalindromeClassifier_M1,BoundedBinaryPalindromeClassifier,BOR,control-flow,condition,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,3,True,2,False,True,True,True,19,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],19,66,1,65,0.8517,0.0095,SFL DStar (e=2),
SFL,sfl.barinel,line,evaluated,BoundedBinaryPalindromeClassifier_M1,BoundedBinaryPalindromeClassifier,BOR,control-flow,condition,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,3,True,2,False,True,True,True,19,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],19,66,1,65,0.8517,0.0095,SFL Barinel,
SFL,sfl.op2,line,evaluated,BoundedBinaryPalindromeClassifier_M1,BoundedBinaryPalindromeClassifier,BOR,control-flow,condition,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,3,True,2,False,True,True,True,19,1,1,1,1,1,1,1,1,1,2,1,3,5,10,[3],19,66,1,65,0.8517,0.0095,SFL Op2,
SFL,sfl.ochiai,line,evaluated,BoundedBinaryPalindromeClassifier_M2,BoundedBinaryPalindromeClassifier,ROR,control-flow,condition,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M2.java,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M2.java,12,True,8,False,False,False,True,19,1,1,1,1,1,1,1,1,1,8,1,3,5,10,[12],19,66,16,50,0.8517,0.0093,SFL Ochiai,
