F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_file,primary_line,reason,scoring_strategy,sfl_report,status,subject,top1_barinel_hit,top1_barinel_region_lines,top1_budget,top1_dstar_hit,top1_dstar_region_lines,top1_folded_hit,top1_ochiai_hit,top1_ochiai_region_lines,top1_op2_hit,top1_op2_region_lines,top1_tarantula_hit,top1_tarantula_region_lines,top2_barinel_hit,top2_barinel_region_lines,top2_budget,top2_dstar_hit,top2_dstar_region_lines,top2_folded_hit,top2_ochiai_hit,top2_ochiai_region_lines,top2_op2_hit,top2_op2_region_lines,top2_tarantula_hit,top2_tarantula_region_lines,top3_barinel_hit,top3_barinel_region_lines,top3_budget,top3_dstar_hit,top3_dstar_region_lines,top3_folded_hit,top3_ochiai_hit,top3_ochiai_region_lines,top3_op2_hit,top3_op2_region_lines,top3_tarantula_hit,top3_tarantula_region_lines
1,50,condition,control-flow,BoundedAliquotClassifier_M1,BOR,BoundedAliquotClassifier/BoundedAliquotClassifier_M1.java,3,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedAliquotClassifier_M1/sfl_localization.json,evaluated,BoundedAliquotClassifier,True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]"
41,11,condition,control-flow,BoundedAliquotClassifier_M2,ROR,BoundedAliquotClassifier/BoundedAliquotClassifier_M2.java,9,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedAliquotClassifier_M2/sfl_localization.json,evaluated,BoundedAliquotClassifier,False,"[7, 8, 17]",3,True,"[7, 8, 9]",True,True,"[7, 8, 9]",True,"[7, 8, 9]",False,"[7, 8, 17]",True,"[7, 8, 9, 10, 11, 17]",6,True,"[7, 8, 9, 10, 11, 13]",True,True,"[7, 8, 9, 10, 11, 13]",True,"[7, 8, 9, 10, 11, 13]",True,"[7, 8, 9, 10, 11, 17]",True,"[7, 8, 9, 10, 11, 13, 17]",7,True,"[7, 8, 9, 10, 11, 13, 16]",True,True,"[7, 8, 9, 10, 11, 13, 16]",True,"[7, 8, 9, 10, 11, 13, 16]",True,"[7, 8, 9, 10, 11, 13, 17]"
0,52,condition,control-flow,BoundedAliquotClassifier_M3,BOR,,19,budget_row_not_evaluated,coverage_x_purity,,not_detected,BoundedAliquotClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,41,statement,data-flow,BoundedAliquotClassifier_M4,AOR,BoundedAliquotClassifier/BoundedAliquotClassifier_M4.java,11,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedAliquotClassifier_M4/sfl_localization.json,evaluated,BoundedAliquotClassifier,True,"[10, 11, 13]",3,True,"[10, 11, 13]",True,True,"[10, 11, 13]",True,"[10, 11, 13]",True,"[10, 11, 13]",True,"[7, 10, 11, 13]",4,True,"[7, 10, 11, 13]",True,True,"[7, 10, 11, 13]",True,"[7, 10, 11, 13]",True,"[7, 10, 11, 13]",True,"[7, 8, 9, 10, 11, 13]",6,True,"[7, 8, 9, 10, 11, 13]",True,True,"[7, 8, 9, 10, 11, 13]",True,"[7, 8, 9, 10, 11, 13]",True,"[7, 8, 9, 10, 11, 13]"
11,38,statement,data-flow,BoundedAliquotClassifier_M5,AOR,BoundedAliquotClassifier/BoundedAliquotClassifier_M5.java,13,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedAliquotClassifier_M5/sfl_localization.json,evaluated,BoundedAliquotClassifier,True,"[10, 11, 13]",3,True,"[10, 11, 13]",True,True,"[10, 11, 13]",True,"[10, 11, 13]",True,"[10, 11, 13]",True,"[7, 10, 11, 13]",4,True,"[7, 10, 11, 13]",True,True,"[7, 10, 11, 13]",True,"[7, 10, 11, 13]",True,"[7, 10, 11, 13]",True,"[7, 8, 9, 10, 11, 13]",6,True,"[7, 8, 9, 10, 11, 13]",True,True,"[7, 8, 9, 10, 11, 13]",True,"[7, 8, 9, 10, 11, 13]",True,"[7, 8, 9, 10, 11, 13]"
39,13,statement,data-flow,BoundedAliquotClassifier_M6,CR,BoundedAliquotClassifier/BoundedAliquotClassifier_M6.java,22,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedAliquotClassifier_M6/sfl_localization.json,evaluated,BoundedAliquotClassifier,True,"[19, 22]",2,True,"[19, 22]",True,True,"[19, 22]",True,"[19, 22]",True,"[19, 22]",True,"[7, 8, 9, 19, 22]",5,True,"[7, 8, 9, 19, 22]",True,True,"[7, 8, 9, 19, 22]",True,"[7, 8, 9, 19, 22]",True,"[7, 8, 9, 19, 22]",True,"[7, 8, 9, 10, 11, 16, 19, 22]",8,True,"[7, 8, 9, 10, 11, 16, 19, 22]",True,True,"[7, 8, 9, 10, 11, 16, 19, 22]",True,"[3, 7, 8, 9, 10, 16, 19, 22]",True,"[7, 8, 9, 10, 11, 16, 19, 22]"
1,65,condition,control-flow,BoundedBinaryPalindromeClassifier_M1,BOR,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M1.java,3,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedBinaryPalindromeClassifier_M1/sfl_localization.json,evaluated,BoundedBinaryPalindromeClassifier,True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]"
16,50,condition,control-flow,BoundedBinaryPalindromeClassifier_M2,ROR,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M2.java,12,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedBinaryPalindromeClassifier_M2/sfl_localization.json,evaluated,BoundedBinaryPalindromeClassifier,False,"[6, 25]",2,False,"[6, 25]",False,False,"[6, 25]",False,"[6, 7]",False,"[6, 25]",False,"[6, 7, 8, 9, 25]",5,False,"[6, 7, 8, 9, 25]",True,False,"[6, 7, 8, 9, 25]",False,"[6, 7, 8, 9, 10]",False,"[6, 7, 8, 9, 25]",True,"[6, 7, 8, 9, 10, 11, 12, 13, 25]",9,True,"[6, 7, 8, 9, 10, 11, 12, 15, 25]",True,True,"[6, 7, 8, 9, 10, 11, 12, 15, 25]",True,"[6, 7, 8, 9, 10, 11, 12, 15, 18]",True,"[6, 7, 8, 9, 10, 11, 12, 13, 25]"
16,50,condition,control-flow,BoundedBinaryPalindromeClassifier_M3,ROR,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M3.java,18,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedBinaryPalindromeClassifier_M3/sfl_localization.json,evaluated,BoundedBinaryPalindromeClassifier,False,"[6, 25]",2,False,"[6, 25]",False,False,"[6, 25]",False,"[6, 7]",False,"[6, 25]",False,"[6, 7, 8, 9, 25]",5,False,"[6, 7, 8, 9, 25]",False,False,"[6, 7, 8, 9, 25]",False,"[6, 7, 8, 9, 10]",False,"[6, 7, 8, 9, 25]",False,"[6, 7, 8, 9, 10, 11, 12, 13, 25]",9,False,"[6, 7, 8, 9, 10, 11, 12, 15, 25]",False,False,"[6, 7, 8, 9, 10, 11, 12, 15, 25]",True,"[6, 7, 8, 9, 10, 11, 12, 15, 18]",False,"[6, 7, 8, 9, 10, 11, 12, 13, 25]"
56,10,statement,data-flow,BoundedBinaryPalindromeClassifier_M4,SUR,BoundedBinaryPalindromeClassifier/BoundedBinaryPalindromeClassifier_M4.java,19,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/baseline-SFL/BoundedBinaryPalindromeClassifier_M4/sfl_localization.json,evaluated,BoundedBinaryPalindromeClassifier,True,"[6, 7, 8, 19]",4,True,"[6, 7, 8, 19]",True,True,"[6, 7, 8, 19]",True,"[6, 7, 8, 19]",True,"[6, 7, 8, 19]",True,"[6, 7, 8, 9, 10, 19]",6,True,"[6, 7, 8, 9, 10, 19]",True,True,"[6, 7, 8, 9, 10, 19]",True,"[6, 7, 8, 9, 10, 19]",True,"[6, 7, 8, 9, 10, 19]",True,"[6, 7, 8, 9, 10, 11, 12, 13, 19]",9,True,"[6, 7, 8, 9, 10, 11, 12, 15, 19]",True,True,"[6, 7, 8, 9, 10, 11, 12, 15, 19]",True,"[6, 7, 8, 9, 10, 11, 12, 15, 19]",True,"[6, 7, 8, 9, 10, 11, 12, 13, 19]"
