F_total,P_total,aggregated_report,condition_candidates,condition_node_best_rank,condition_node_folded_edge_partition_best_rank,condition_node_folded_edge_partition_hit,condition_node_folded_edge_partition_prediction_count,condition_node_folded_edge_partition_topk,condition_node_hit,condition_node_prediction_count,condition_node_topk,eval_report,fault_category,fault_kind,interval_folded_edge_partition_best_rank,interval_folded_edge_partition_hit,interval_folded_edge_partition_prediction_count,interval_folded_edge_partition_topk,interval_folded_seed_e_best_rank,interval_folded_seed_e_hit,interval_folded_seed_e_prediction_count,interval_folded_seed_e_topk,interval_folded_seed_s_best_rank,interval_folded_seed_s_hit,interval_folded_seed_s_prediction_count,interval_folded_seed_s_topk,mutant_id,operator,raw_report,reason,scoring_strategy,seed_e_candidates,seed_s_candidates,status,subject,unstable_segment_variants
1,50,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M1/cct_folded_localization_aggregated.json,1,1,1,True,2,"{""top1"": true, ""top2"": true, ""top3"": true}",True,1,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M1/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},BoundedAliquotClassifier_M1,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M1/cct_folded_localization.json,,density_log,1,0,evaluated,BoundedAliquotClassifier,3
41,11,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M2/cct_folded_localization_aggregated.json,6,1,1,True,11,"{""top1"": true, ""top2"": true, ""top3"": true}",True,6,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M2/cct_folded_localization_eval.json,condition,control-flow,,False,5,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,5,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BoundedAliquotClassifier_M2,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M2/cct_folded_localization.json,,density_log,6,1,evaluated,BoundedAliquotClassifier,1
0,52,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M3/cct_folded_localization_aggregated.json,0,,,,,,,,,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M3/cct_folded_localization_eval.json,condition,control-flow,,,,,,,,,,,,,BoundedAliquotClassifier_M3,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M3/cct_folded_localization.json,no_tbfv_failures,density_log,0,0,not_detected,BoundedAliquotClassifier,3
11,41,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M4/cct_folded_localization_aggregated.json,6,,1,True,10,"{""top1"": true, ""top2"": true, ""top3"": true}",False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M4/cct_folded_localization_eval.json,statement,data-flow,1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BoundedAliquotClassifier_M4,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M4/cct_folded_localization.json,,density_log,5,1,evaluated,BoundedAliquotClassifier,0
11,38,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M5/cct_folded_localization_aggregated.json,6,,1,True,10,"{""top1"": true, ""top2"": true, ""top3"": true}",False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M5/cct_folded_localization_eval.json,statement,data-flow,1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,1,"{""top1"": true, ""top2"": true, ""top3"": true}",BoundedAliquotClassifier_M5,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M5/cct_folded_localization.json,,density_log,5,1,evaluated,BoundedAliquotClassifier,0
39,13,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M6/cct_folded_localization_aggregated.json,6,,1,True,10,"{""top1"": true, ""top2"": true, ""top3"": true}",False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M6/cct_folded_localization_eval.json,statement,data-flow,1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BoundedAliquotClassifier_M6,CR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedAliquotClassifier_M6/cct_folded_localization.json,,density_log,5,1,evaluated,BoundedAliquotClassifier,3
1,65,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M1/cct_folded_localization_aggregated.json,1,1,1,True,2,"{""top1"": true, ""top2"": true, ""top3"": true}",True,1,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M1/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},BoundedBinaryPalindromeClassifier_M1,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M1/cct_folded_localization.json,,density_log,1,0,evaluated,BoundedBinaryPalindromeClassifier,2
16,50,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M2/cct_folded_localization_aggregated.json,7,2,2,True,15,"{""top1"": false, ""top2"": true, ""top3"": true}",True,7,"{""top1"": false, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M2/cct_folded_localization_eval.json,condition,control-flow,,False,8,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,8,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},BoundedBinaryPalindromeClassifier_M2,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M2/cct_folded_localization.json,,density_log,8,0,evaluated,BoundedBinaryPalindromeClassifier,2
16,50,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M3/cct_folded_localization_aggregated.json,7,4,,False,15,"{""top1"": false, ""top2"": false, ""top3"": false}",True,7,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M3/cct_folded_localization_eval.json,condition,control-flow,,False,8,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,8,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},BoundedBinaryPalindromeClassifier_M3,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M3/cct_folded_localization.json,,density_log,8,0,evaluated,BoundedBinaryPalindromeClassifier,2
56,10,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M4/cct_folded_localization_aggregated.json,7,,1,True,14,"{""top1"": true, ""top2"": true, ""top3"": true}",False,7,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M4/cct_folded_localization_eval.json,statement,data-flow,1,True,7,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,7,"{""top1"": true, ""top2"": true, ""top3"": true}",,False,,{},BoundedBinaryPalindromeClassifier_M4,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_b/FL/folded-replay/artifacts/FL/BoundedBinaryPalindromeClassifier_M4/cct_folded_localization.json,,density_log,7,0,evaluated,BoundedBinaryPalindromeClassifier,0
